block_number,block_timestamp,my_timestamp,delta
5454187,1523929676,1523929691,15,86
5454188,1523929680,1523929699,19,71
5454189,1523929695,1523929718,23,58
5454190,1523929699,1523929719,20,77
5454191,1523929713,1523929736,23,85
5454192,1523929731,1523929737,6,92
5454193,1523929734,1523929750,16,21
5454194,1523929746,1523929761,15,116
5454195,1523929756,1523929768,12,12
5454196,1523929765,1523929786,21,111
5454197,1523929784,1523929792,8,72
5454198,1523929787,1523929800,13,22
5454199,1523929798,1523929808,10,73
5454200,1523929805,1523929814,9,86
5454201,1523929808,1523929820,12,14
5454202,1523929819,1523929837,18,48
5454203,1523929835,1523929859,24,91
5454204,1523929857,1523929872,15,112
5454205,1523929866,1523929878,12,72
5454208,1523929894,1523930042,148,120
5454210,1523929932,1523930043,111,124
5454214,1523929988,1523930044,56,13
5454216,1523930018,1523930045,27,9
5454217,1523930038,1523930050,12,137
5454218,1523930045,1523930062,17,125
5454219,1523930060,1523930076,16,113
5454220,1523930074,1523930095,21,17
5454221,1523930092,1523930123,31,103
5454222,1523930120,1523930132,12,185
5454223,1523930130,1523930141,11,106
5454224,1523930138,1523930182,44,186
5454225,1523930180,1523930191,11,184
5454226,1523930186,1523930201,15,97
5454227,1523930194,1523930222,28,110
5454228,1523930221,1523930229,8,193
5454229,1523930225,1523930233,8,119
5454230,1523930229,1523930245,16,165
5454231,1523930243,1523930247,4,176
5454232,1523930246,1523930261,15,215
5454233,1523930253,1523930298,45,146
5454234,1523930296,1523930303,7,43
5454235,1523930300,1523930316,16,148
5454236,1523930304,1523930325,21,134
5454237,1523930317,1523930348,31,186
5454238,1523930346,1523930357,11,194
5454239,1523930353,1523930368,15,179
5454240,1523930365,1523930380,15,99
5454241,1523930374,1523930395,21,12
5454242,1523930390,1523930401,11,229
5454243,1523930395,1523930406,11,212
5454244,1523930404,1523930415,11,21
5454245,1523930413,1523930420,7,175
5454246,1523930417,1523930427,10,182
5454247,1523930424,1523930447,23,212
5454248,1523930440,1523930448,8,206
5454249,1523930443,1523930449,6,84
5454250,1523930446,1523930532,86,21
5454251,1523930468,1523930533,65,112
5454252,1523930472,1523930534,62,89
5454253,1523930478,1523930535,57,68
5454255,1523930514,1523930536,22,110
5454256,1523930518,1523930543,25,2
5454257,1523930542,1523930559,17,105
5454258,1523930558,1523930564,6,162
5454259,1523930562,1523930583,21,28
5454260,1523930581,1523930595,14,83
5454261,1523930592,1523930603,11,184
5454263,1523930622,1523930626,4,71
5454264,1523930624,1523930632,8,167
5454265,1523930628,1523930637,9,88
5454266,1523930635,1523930672,37,115
5454268,1523930682,1523930853,171,97
5454270,1523930703,1523930854,151,216
5454272,1523930746,1523930855,109,110
5454273,1523930766,1523930856,90,135
5454274,1523930800,1523930857,57,219
5454275,1523930827,1523930877,50,87
5454276,1523930874,1523930884,10,176
5454277,1523930882,1523930895,13,17
5454278,1523930894,1523930905,11,186
5454279,1523930904,1523930909,5,161
5454280,1523930910,1523930925,15,226
5454282,1523930936,1523931088,152,90
5454285,1523930965,1523931089,124,223
5454288,1523931007,1523931090,83,103
5454290,1523931034,1523931092,58,162
5454292,1523931061,1523931093,32,265
5454293,1523931081,1523931102,21,90
5454294,1523931094,1523931123,29,127
5454295,1523931121,1523931130,9,271
5454296,1523931127,1523931137,10,89
5454297,1523931132,1523931145,13,90
5454298,1523931143,1523931166,23,72
5454299,1523931162,1523931176,14,90
5454300,1523931175,1523931196,21,213
5454301,1523931194,1523931214,20,127
5454302,1523931207,1523931215,8,86
5454303,1523931213,1523931228,15,214
5454304,1523931224,1523931232,8,153
5454305,1523931229,1523931237,8,67
5454306,1523931231,1523931244,13,181
5454307,1523931242,1523931272,30,207
5454308,1523931271,1523931279,8,199
5454309,1523931277,1523931298,21,204
5454310,1523931286,1523931326,40,194
5454311,1523931322,1523931341,19,237
5454312,1523931337,1523931362,25,114
5454313,1523931358,1523931404,46,133
5454314,1523931402,1523931409,7,225
5454315,1523931406,1523931412,6,169
5454316,1523931410,1523931426,16,164
5454317,1523931424,1523931440,16,174
5454318,1523931439,1523931471,32,180
5454319,1523931457,1523931472,15,171
5454320,1523931468,1523931483,15,133
5454321,1523931482,1523931509,27,108
5454322,1523931509,1523931525,16,182
5454323,1523931523,1523931540,17,164
5454324,1523931533,1523931571,38,157
5454325,1523931569,1523931595,26,87
5454326,1523931582,1523931598,16,54
5454327,1523931595,1523931635,40,184
5454328,1523931632,1523931656,24,199
5454329,1523931650,1523931661,11,114
5454330,1523931657,1523931698,41,176
5454331,1523931691,1523931701,10,177
5454332,1523931699,1523931707,8,193
5454333,1523931704,1523931721,17,153
5454334,1523931717,1523931737,20,72
5454335,1523931735,1523931770,35,116
5454336,1523931765,1523931773,8,190
5454337,1523931769,1523931781,12,116
5454338,1523931777,1523931800,23,165
5454339,1523931797,1523931847,50,136
5454340,1523931845,1523931877,32,111
5454341,1523931870,1523931978,108,119
5454342,1523931882,1523931979,97,273
5454343,1523931896,1523931980,84,140
5454344,1523931904,1523931981,77,145
5454345,1523931930,1523931982,52,199
5454347,1523931948,1523931983,35,99
5454348,1523931954,1523931991,37,114
5454349,1523931989,1523931998,9,241
5454350,1523931996,1523932028,32,146
5454351,1523932022,1523932030,8,193
5454352,1523932028,1523932032,4,217
5454353,1523932031,1523932064,33,180
5454354,1523932061,1523932077,16,172
5454355,1523932073,1523932080,7,193
5454357,1523932083,1523932120,37,13
5454359,1523932110,1523932121,11,139
5454360,1523932114,1523932122,8,50
5454361,1523932116,1523932129,13,37
5454362,1523932126,1523932138,12,74
5454363,1523932135,1523932158,23,15
5454364,1523932158,1523932178,20,183
5454365,1523932176,1523932195,19,224
5454366,1523932192,1523932211,19,127
5454367,1523932203,1523932236,33,168
5454368,1523932231,1523932286,55,263
5454369,1523932272,1523932288,16,237
5454370,1523932280,1523932309,29,59
5454371,1523932305,1523932366,61,56
5454372,1523932363,1523932367,4,64
5454373,1523932365,1523932370,5,41
5454374,1523932368,1523932377,9,155
5454375,1523932376,1523932385,9,111
5454376,1523932385,1523932407,22,203
5454377,1523932405,1523932418,13,139
5454378,1523932415,1523932428,13,144
5454379,1523932420,1523932450,30,138
5454380,1523932439,1523932468,29,224
5454381,1523932464,1523932585,121,250
5454382,1523932484,1523932586,102,156
5454383,1523932506,1523932587,81,211
5454384,1523932523,1523932588,65,150
5454385,1523932531,1523932589,58,243
5454386,1523932539,1523932590,51,76
5454387,1523932540,1523932592,52,127
5454389,1523932552,1523932593,41,47
5454390,1523932580,1523932604,24,213
5454391,1523932600,1523932613,13,148
5454392,1523932609,1523932628,19,196
5454393,1523932620,1523932633,13,141
5454394,1523932624,1523932634,10,64
5454395,1523932628,1523932764,136,10
5454397,1523932652,1523932766,114,151
5454398,1523932713,1523932767,54,180
5454399,1523932727,1523932768,41,80
5454400,1523932730,1523932769,39,131
5454401,1523932751,1523932773,22,147
5454402,1523932767,1523932782,15,143
5454403,1523932778,1523932801,23,117
5454404,1523932802,1523932887,85,187
5454405,1523932836,1523932888,52,174
5454406,1523932838,1523932889,51,44
5454407,1523932850,1523932919,69,102
5454408,1523932916,1523932922,6,172
5454409,1523932919,1523932932,13,98
5454410,1523932927,1523932938,11,163
5454411,1523932935,1523932970,35,121
5454412,1523932966,1523932987,21,216
5454413,1523932983,1523933000,17,171
5454414,1523932989,1523933016,27,123
5454415,1523933013,1523933023,10,177
5454416,1523933018,1523933035,17,26
5454417,1523933027,1523933049,22,82
5454418,1523933045,1523933053,8,36
5454419,1523933052,1523933062,10,101
5454420,1523933059,1523933086,27,163
5454421,1523933084,1523933096,12,92
5454422,1523933090,1523933124,34,4
5454423,1523933118,1523933128,10,202
5454424,1523933124,1523933139,15,57
5454425,1523933138,1523933163,25,78
5454426,1523933156,1523933184,28,52
5454427,1523933183,1523933206,23,183
5454428,1523933192,1523933349,157,27
