block_number,block_timestamp,my_timestamp,timestamp_delta,tx_count,avg_gas_price,median_gas_price,q5_gas_price,q95_gas_price
5467057,1524120829,1524120835,6,158,47.08798686454581,21.0,2.0,140.0
5467058,1524120833,1524120841,8,166,10.124696270171908,4.0,2.0,40.0
5467059,1524120840,1524120867,27,89,6.835585155541419,4.0,2.0,36.61291931034482
5467060,1524120859,1524120872,13,159,13.768053425238726,5.0,2.0,50.0
5467061,1524120866,1524120882,16,14,15.470823763113787,4.0,4.0,50.0
5467062,1524120879,1524120896,17,187,11.045804784841339,3.023547837302983,2.0,50.0
5467063,1524120895,1524120901,6,58,59.71511618227899,50.0,41.37751401088798,91.0
5467064,1524120898,1524120919,21,121,4.249258300038951,4.0,2.0,11.637648758476919
5467065,1524120918,1524120926,8,111,14.35280443054696,4.023249596775568,2.0,50.0
5467066,1524120926,1524120937,11,60,13.530727713299209,5.000610786363636,3.0,50.0
5467067,1524120935,1524120944,9,118,11.97475276231014,3.0,2.0,49.647743559332156
5467068,1524120943,1524120977,34,134,13.064205588811207,4.0,1.0,50.0
5467069,1524120977,1524121011,34,209,13.901631317847812,5.0,2.0,50.0
5467070,1524121010,1524121022,12,172,19.834716088805692,8.0,1.0,50.0
5467071,1524121022,1524121026,4,118,14.696336187219993,5.0,2.0,50.0
5467073,1524121033,1524121043,10,127,8.273186083578345,4.0,2.0,30.133348677248676
5467074,1524121035,1524121062,27,96,7.832744411889289,3.225534735416354,2.0,50.0
5467075,1524121061,1524121067,6,144,11.47803610780953,4.0,2.0,50.0
5467076,1524121066,1524121099,33,91,17.134743367620782,3.6225727069185756,2.2,91.0
5467077,1524121100,1524121112,12,139,28.78860205434692,20.0,5.0,55.0
5467078,1524121112,1524121121,9,95,7.525900387519466,5.0,4.0,20.223716071428573
5467080,1524121127,1524121135,8,215,3.3467353371438433,2.0,2.0,4.18260539280742
5467081,1524121132,1524121137,5,267,5.720192948742667,2.0,1.0,41.331463157894554
5467082,1524121136,1524121145,9,117,13.019354984305263,4.0,2.0,50.0
5467083,1524121142,1524121160,18,183,7.787521347755215,3.0,2.0,50.0
5467084,1524121160,1524121178,18,190,11.945564824388294,4.0,2.0,50.0
5467085,1524121175,1524121190,15,170,10.106286584363097,3.0,2.0,41.23689198947743
5467086,1524121190,1524121206,16,227,14.74636489126413,4.0,1.0,50.0
5467087,1524121205,1524121256,51,177,11.957992336665898,3.0,2.0,55.35010193637603
5467088,1524121257,1524121275,18,293,19.829412007465372,12.0,5.0,69.89204271908736
5467089,1524121273,1524121303,30,204,10.011387003204081,4.0,3.0,50.85959867857141
5467090,1524121302,1524121307,5,200,13.063623556259133,5.0,2.0,51.9
5467091,1524121307,1524121317,10,162,52.84373245092238,55.0,31.09849473684211,55.0
5467092,1524121316,1524121326,10,86,10.902610859342747,4.0,4.0,55.0
5467093,1524121327,1524121342,15,120,11.083497163352849,4.0,2.0,52.76710633484159
5467094,1524121341,1524121374,33,127,9.441486223727747,4.0,2.0,45.38753050949377
5467095,1524121373,1524121391,18,148,20.882888985062927,10.0,2.0,60.05460037735849
5467096,1524121390,1524121408,18,121,13.916294152759665,5.0,2.039555114503817,50.90059072330059
5467097,1524121407,1524121414,7,124,14.889986954343028,4.0,2.0,50.77639807431514
5467098,1524121413,1524121419,6,117,7.941989380228158,4.0,2.0,40.0
5467099,1524121419,1524121437,18,98,7.981170492075936,4.0,2.0,29.900364857142787
5467100,1524121436,1524121445,9,152,30.54065768928039,21.09334139936481,5.001,55.0
5467101,1524121443,1524121466,23,84,5.954608209675109,4.0,2.0,7.43522222222222
5467102,1524121466,1524121493,27,127,10.096392798662874,4.0,3.0,50.0
5467103,1524121492,1524121531,39,136,15.191115083427198,4.909049014084507,3.0,52.768858752352074
5467104,1524121529,1524121536,7,192,9.676254085301878,5.0,2.0,50.0
5467105,1524121536,1524121551,15,191,7.144141006467981,2.0,1.0,50.0
5467106,1524121550,1524121556,6,161,6.001510467090888,4.0,1.5,20.0
5467107,1524121556,1524121561,5,113,7.238958026694702,4.0,2.0,40.0
5467108,1524121561,1524121567,6,174,19.60208736755553,4.0,3.681587068560907,55.0
5467109,1524121567,1524121580,13,112,5.121327753137143,3.0,2.0,5.815200895541082
5467110,1524121578,1524121584,6,157,4.685235854946498,3.0,2.0,5.107754780442478
5467111,1524121582,1524121588,6,40,45.1482651357684,50.0,23.282775863138898,60.0
5467112,1524121584,1524121590,6,196,5.051555133468555,4.0,2.0,17.110717971986094
5467113,1524121589,1524121597,8,155,4.459731551085317,2.0,2.0,16.57015999999992
5467114,1524121594,1524121626,32,206,4.9396813210799255,3.0,2.0,6.463153108453101
5467115,1524121627,1524121637,10,180,17.031851559777472,5.0,4.0,51.33422289257938
5467116,1524121636,1524121642,6,154,5.768121091402756,3.0,2.0,19.326337434057727
